x,y,yaw,steeringAngle,velocity,srate
-96.9619,-496.904,1.14824,0.00895302,-1.43098,0
-97.0185,-497.03,1.14762,0.00895302,-1.37857,0
-97.073,-497.151,1.14703,0.00895302,-1.3281,0
-97.1256,-497.268,1.14646,0.00895302,-1.27949,0
-97.1764,-497.38,1.14591,0.00895302,-1.23268,0
-97.2253,-497.488,1.14537,0.00895302,-1.1876,0
-97.2726,-497.592,1.14486,0.00895302,-1.14418,0
-97.3181,-497.693,1.14437,0.00895302,-1.10236,0
-97.362,-497.789,1.14389,0.00895302,-1.06208,0
-97.4204,-497.918,1.14326,0.00888135,-1.41068,-0.000716699
-97.477,-498.042,1.14266,0.00881264,-1.36322,-0.000687135
-97.5317,-498.162,1.14207,0.0087445,-1.31776,-0.000681455
-97.5847,-498.278,1.14152,0.00867656,-1.27578,-0.000679334
-97.6363,-498.39,1.14098,0.00860759,-1.23982,-0.000689687
-97.6863,-498.5,1.14046,0.00853965,-1.20023,-0.000679459
-97.7345,-498.604,1.13997,0.00847649,-1.15433,-0.000631549
-97.7887,-498.722,1.13942,0.00818537,-1.29813,-0.00291122
-97.8321,-498.817,1.13899,0.00812457,-1.03716,-0.000608023
-97.8833,-498.928,1.1385,0.00782771,-1.2233,-0.0029686
-97.9232,-499.014,1.13812,0.00777396,-0.95417,-0.000537481
-97.9608,-499.096,1.13778,0.00772344,-0.895706,-0.000505244
-97.9972,-499.174,1.13744,0.00766772,-0.867439,-0.000557187
-98.042,-499.271,1.13703,0.00739119,-1.06805,-0.00276531
-98.0776,-499.348,1.13672,0.00731166,-0.846916,-0.000795306
-98.1107,-499.42,1.13643,0.00723776,-0.786088,-0.000738945
-98.1518,-499.508,1.13608,0.00696977,-0.976564,-0.00267995
-98.1844,-499.578,1.13581,0.00685509,-0.774199,-0.00114675
-98.2228,-499.661,1.1355,0.00658348,-0.911345,-0.00271609
-98.2597,-499.74,1.13521,0.0063086,-0.874066,-0.00274886
-98.2936,-499.813,1.13495,0.00605318,-0.805327,-0.00255421
-98.3275,-499.886,1.13471,0.00574526,-0.802251,-0.00307915
-98.356,-499.947,1.13452,0.00552348,-0.673608,-0.00221783
-98.371,-499.979,1.13442,0.0055115,-0.356187,-0.00011974
-98.3848,-500.009,1.13433,0.0055005,-0.327023,-0.000109981
-98.3975,-500.036,1.13425,0.0054904,-0.300247,-0.000101013
-98.4092,-500.061,1.13417,0.00548113,-0.275665,-9.27749e-05
-98.4232,-500.091,1.13408,0.00545376,-0.330478,-0.000273624
-98.4366,-500.12,1.13399,0.0054264,-0.318732,-0.000273625
-98.4521,-500.153,1.13389,0.00535793,-0.366222,-0.00068476
-98.4701,-500.192,1.13378,0.00522586,-0.423972,-0.00132067
-98.4827,-500.219,1.1337,0.00520147,-0.298569,-0.000243924
-98.4967,-500.248,1.13362,0.00513078,-0.329414,-0.000706829
-98.509,-500.275,1.13354,0.00509378,-0.292048,-0.000370025
